from.date,to.date,ticket.price,from.airlines,from.duration,from.depart.time,from.arrival.time,from.stop.city,from.stop.duration,to.airlines,to.duration,to.depart.time,to.arrival.time,to.stop.city,to.stop.duration,from.arrival.date,from.flight1,from.flight1.time,from.flight2,from.flight2.time,to.arrival.date,to.flight1,to.flight1.time,to.flight2,to.flight2.time
22.08.09,22.08.18,"₩1,642,100",루프트한자 (독일항공),15시간,오후 2:20,오후 10:20,FRA,2시간 15분,루프트한자 (독일항공),13시간,오후 12:45,오전 8:45,MUC,1시간 10분,, 루프트한자 (독일항공)/LH713,11시간 25분, 루프트한자 (독일항공)/LH832,1시간 20분, 8월 19일 금요일 도착, 루프트한자 (독일항공)/LH2441,1시간 35분, 루프트한자 (독일항공)/LH718,10시간 15분
22.08.10,22.08.19,"₩1,102,700",카타르항공,19시간 40분,오전 1:30,오후 2:10,DOH,2시간 55분,카타르항공,17시간 30분,오후 4:25,오후 4:55,DOH,2시간 45분,, 카타르항공/QR859,10시간 25분, 카타르항공/QR159,6시간 20분, 8월 20일 토요일 도착, 카타르항공/QR160,6시간, 카타르항공/QR858,8시간 45분
22.08.10,22.08.19,"₩1,699,357",루프트한자 (독일항공),15시간,오후 2:20,오후 10:20,FRA,2시간 15분,루프트한자 (독일항공),13시간 20분,오후 2:55,오전 11:15,FRA,1시간 35분,, 루프트한자 (독일항공)/LH713,11시간 25분, 루프트한자 (독일항공)/LH832,1시간 20분, 8월 20일 토요일 도착, 루프트한자 (독일항공)/LH829,1시간 30분, 루프트한자 (독일항공)/LH712,10시간 15분
22.08.10,22.08.19,"₩1,689,734",루프트한자 (독일항공),15시간 35분,오전 10:15,오후 6:50,MUC,3시간,루프트한자 (독일항공),13시간 20분,오후 2:55,오전 11:15,FRA,1시간 35분,, 루프트한자 (독일항공)/LH719,11시간 05분, 루프트한자 (독일항공)/LH2442,1시간 30분, 8월 20일 토요일 도착, 루프트한자 (독일항공)/LH829,1시간 30분, 루프트한자 (독일항공)/LH712,10시간 15분
22.08.11,22.08.20,"₩1,108,000",카타르항공,19시간 40분,오전 1:30,오후 2:10,DOH,2시간 55분,카타르항공,17시간 30분,오후 4:25,오후 4:55,DOH,2시간 45분,, 카타르항공/QR859,10시간 25분, 카타르항공/QR159,6시간 20분, 8월 21일 일요일 도착, 카타르항공/QR160,6시간, 카타르항공/QR858,8시간 45분
22.08.11,22.08.20,"₩1,310,330",핀에어,17시간 20분,오후 9:45,오전 8:05,HEL,1시간 55분,핀에어,15시간 35분,오후 12:25,오전 11:00,HEL,2시간 35분, 8월 12일 금요일 도착, 핀에어/AY42,13시간 45분, 핀에어/AY951,1시간 40분, 8월 21일 일요일 도착, 핀에어/AY966,1시간 30분, 핀에어/AY41,11시간 30분
22.08.11,22.08.20,"₩1,406,050",LOT,17시간 50분,오전 11:20,오후 10:10,WAW,3시간 20분,LOT,13시간 30분,오전 9:55,오전 6:25,WAW,0시간 55분,, LOT/LO98,13시간, LOT/LO459,1시간 30분, 8월 21일 일요일 도착, LOT/LO464,1시간 30분, LOT/LO97,11시간 05분
22.08.12,22.08.21,"₩1,031,952",카타르항공,19시간 40분,오전 1:30,오후 2:10,DOH,2시간 55분,카타르항공,17시간 30분,오후 4:25,오후 4:55,DOH,2시간 45분,, 카타르항공/QR859,10시간 25분, 카타르항공/QR159,6시간 20분, 8월 22일 월요일 도착, 카타르항공/QR160,6시간, 카타르항공/QR858,8시간 45분
22.08.12,22.08.21,"₩1,174,850",LOT,17시간 50분,오전 8:05,오후 6:55,WAW,3시간 20분,LOT,13시간 30분,오전 9:55,오전 6:25,WAW,0시간 55분,, LOT/LO1098,13시간, LOT/LO461,1시간 30분, 8월 22일 월요일 도착, LOT/LO464,1시간 30분, LOT/LO1097,11시간 05분
22.08.12,22.08.21,"₩1,210,200",LOT,17시간 50분,오전 8:05,오후 6:55,WAW,3시간 20분,LOT,16시간 25분,오전 7:00,오전 6:25,WAW,3시간 55분,, LOT/LO1098,13시간, LOT/LO461,1시간 30분, 8월 22일 월요일 도착, LOT/LO460,1시간 25분, LOT/LO1097,11시간 05분
