from.date,to.date,ticket.price,from.airlines,from.duration,from.depart.time,from.arrival.time,from.stop.city,from.stop.duration,to.airlines,to.duration,to.depart.time,to.arrival.time,to.stop.city,to.stop.duration,from.arrival.date,from.flight1,from.flight1.time,from.flight2,from.flight2.time,to.arrival.date,to.flight1,to.flight1.time,to.flight2,to.flight2.time
22.08.06,22.08.15,"₩1,472,637",카타르항공,19시간 40분,오전 1:30,오후 2:10,DOH,2시간 55분,카타르항공,17시간 30분,오후 4:25,오후 4:55,DOH,2시간 45분,, 카타르항공/QR859,10시간 25분, 카타르항공/QR159,6시간 20분, 8월 16일 화요일 도착, 카타르항공/QR160,6시간, 카타르항공/QR858,8시간 45분
22.08.06,22.08.15,"₩1,892,100",루프트한자 (독일항공),15시간,오후 2:20,오후 10:20,FRA,2시간 15분,루프트한자 (독일항공),13시간,오후 12:45,오전 8:45,MUC,1시간 10분,, 루프트한자 (독일항공)/LH713,11시간 25분, 루프트한자 (독일항공)/LH832,1시간 20분, 8월 16일 화요일 도착, 루프트한자 (독일항공)/LH2441,1시간 35분, 루프트한자 (독일항공)/LH718,10시간 15분
22.08.07,22.08.16,"₩1,375,200",LOT,17시간 50분,오전 8:05,오후 6:55,WAW,3시간 20분,LOT,13시간 30분,오전 9:55,오전 6:25,WAW,0시간 55분,, LOT/LO98,13시간, LOT/LO461,1시간 30분, 8월 17일 수요일 도착, LOT/LO464,1시간 30분, LOT/LO97,11시간 05분
22.08.07,22.08.16,"₩1,674,000",루프트한자 (독일항공),15시간,오후 2:20,오후 10:20,FRA,2시간 15분,루프트한자 (독일항공),13시간 20분,오후 2:55,오전 11:15,FRA,1시간 35분,, 루프트한자 (독일항공)/LH713,11시간 25분, 루프트한자 (독일항공)/LH832,1시간 20분, 8월 17일 수요일 도착, 루프트한자 (독일항공)/LH829,1시간 30분, 루프트한자 (독일항공)/LH712,10시간 15분
22.08.07,22.08.16,"₩1,375,200",LOT,17시간 50분,오전 8:05,오후 6:55,WAW,3시간 20분,LOT,16시간 25분,오전 7:00,오전 6:25,WAW,3시간 55분,, LOT/LO98,13시간, LOT/LO461,1시간 30분, 8월 17일 수요일 도착, LOT/LO460,1시간 25분, LOT/LO97,11시간 05분
22.08.08,22.08.17,"₩1,194,500",카타르항공,19시간 40분,오전 1:30,오후 2:10,DOH,2시간 55분,카타르항공,17시간 30분,오후 4:25,오후 4:55,DOH,2시간 45분,, 카타르항공/QR859,10시간 25분, 카타르항공/QR159,6시간 20분, 8월 18일 목요일 도착, 카타르항공/QR160,6시간, 카타르항공/QR858,8시간 45분
22.08.08,22.08.17,"₩1,310,330",핀에어,17시간 20분,오후 9:45,오전 8:05,HEL,1시간 55분,핀에어,15시간 35분,오후 12:25,오전 11:00,HEL,2시간 35분, 8월 9일 화요일 도착, 핀에어/AY42,13시간 45분, 핀에어/AY951,1시간 40분, 8월 18일 목요일 도착, 핀에어/AY966,1시간 30분, 핀에어/AY41,11시간 30분
22.08.08,22.08.17,"₩1,549,000",루프트한자 (독일항공),15시간 10분,오후 2:20,오후 10:30,FRA,2시간 25분,루프트한자 (독일항공),13시간 20분,오후 2:55,오전 11:15,FRA,1시간 35분,, 루프트한자 (독일항공)/LH713,11시간 25분, 루프트한자 (독일항공)/LH832,1시간 20분, 8월 18일 목요일 도착, 루프트한자 (독일항공)/LH829,1시간 30분, 루프트한자 (독일항공)/LH712,10시간 15분
22.08.09,22.08.18,"₩1,202,800",카타르항공,19시간 40분,오전 1:30,오후 2:10,DOH,2시간 55분,카타르항공,17시간 30분,오후 4:25,오후 4:55,DOH,2시간 45분,, 카타르항공/QR859,10시간 25분, 카타르항공/QR159,6시간 20분, 8월 19일 금요일 도착, 카타르항공/QR160,6시간, 카타르항공/QR858,8시간 45분
22.08.09,22.08.18,"₩1,406,050",LOT,17시간 50분,오전 11:20,오후 10:10,WAW,3시간 20분,LOT,13시간 30분,오전 9:55,오전 6:25,WAW,0시간 55분,, LOT/LO98,13시간, LOT/LO459,1시간 30분, 8월 19일 금요일 도착, LOT/LO464,1시간 30분, LOT/LO97,11시간 05분
